                         Chocolate Doom 3.1.0
Z_Init: Init zone memory allocation daemon. 
zone memory: 0x76e4cfb91010, 2000000 allocated for zone
Using /home/jp/.local/share/chocolate-doom/ for configuration and saves
V_Init: allocate screens.
M_LoadDefaults: Load system defaults.
saving config in /home/jp/.local/share/chocolate-doom/default.cfg
W_Init: Init WADfiles.
 adding ../misc/OriginalWADs/DOOM.WAD
BFG Edition: Using workarounds as needed.
===========================================================================
                           The Ultimate DOOM
===========================================================================
 Chocolate Doom is free software, covered by the GNU General Public
 License.  There is NO warranty; not even for MERCHANTABILITY or FITNESS
 FOR A PARTICULAR PURPOSE. You are welcome to change and distribute
 copies under certain conditions. See the source for more information.
===========================================================================
I_Init: Setting up machine state.
Failed to get I/O port permissions for 0x388: Operation not permitted
        You may need to run the program as root in order
        to acquire I/O port permissions for OPL MIDI playback.
OPL_Init: Using driver 'SDL'.
NET_Init: Init network subsystem.
M_Init: Init miscellaneous info.
R_Init: Init DOOM refresh daemon - [..........................]
P_Init: Init Playloop state.
S_Init: Setting up sound.
I_SDL_PrecacheSounds: Precaching all sound effects.....................
D_CheckNetGame: Checking network game status.
startskill 2  deathmatch: 0  startmap: 1  startepisode: 1
player 1 of 1 (1 nodes)
Emulating the behavior of the 'Ultimate Doom' executable.
HU_Init: Setting up heads up display.
ST_Init: Init status bar.
When: 2025-11-08 10:38:41 Episode: 1 Map: 5
timestamp        tic     x       y       z       angle   momx    momy
2025-11-08 10:41:50      6637    1463   373     248      188.00  -8     -1      0
2025-11-08 10:41:51      6672    1383   366     248      187.47  -10    -2      0
2025-11-08 10:41:52      6707    1104   359     248      321.86  -2     -3      0
2025-11-08 10:41:53      6742    1305   286     248      18.59   3      0       0
2025-11-08 10:41:54      6777    1332   296     248      11.29   0      0       0
2025-11-08 10:41:55      6812    1551   338     248      353.89  13     0       0
2025-11-08 10:41:56      6847    1775   351     248      132.50  -1     4       0
2025-11-08 10:41:57      6882    1529   330     248      249.26  -5     -5      0
2025-11-08 10:41:58      6917    1468   212     232      321.15  1      -3      0
2025-11-08 10:41:59      6952    1545   -68     170      257.43  -1     -12     0
2025-11-08 10:42:00      6987    1392   -218    136      158.07  -7     1       0
2025-11-08 10:42:01      7022    985    -49     45       153.68  -14    5       0
2025-11-08 10:42:02      7057    912    16      24       175.61  -6     0       0
2025-11-08 10:42:03      7092    502    -35     24       245.04  -8     -9      0
2025-11-08 10:42:04      7127    218    -73     24       155.35  -14    2       0
2025-11-08 10:42:05      7162    -252   -54     24       148.93  -15    4       0
2025-11-08 10:42:06      7197    -621   324     24       135.13  -9     13      0
2025-11-08 10:42:07      7232    -704   425     24       188.70  0      -1      0
2025-11-08 10:42:08      7267    -997   427     24       182.68  -10    -1      0
2025-11-08 10:42:09      7302    -1156  427     24       162.64  -9     1       0
2025-11-08 10:42:10      7337    -1353  501     24       233.04  0      2       0
2025-11-08 10:42:11      7372    -1465  421     24       186.24  -12    -8      0
2025-11-08 10:42:12      7407    -1833  581     120      51.99   -2     10      0
2025-11-08 10:42:13      7442    -1840  743     168      319.35  -1     5       0
2025-11-08 10:42:14      7477    -1847  943     232      278.70  -1     0       0
2025-11-08 10:42:15      7512    -1853  942     232      288.59  0      -2      0
2025-11-08 10:42:16      7547    -1866  943     232      145.24  -7     0       10
2025-11-08 10:42:17      7582    -1678  1011    248      28.48   10     6       0
2025-11-08 10:42:18      7617    -1518  986     248      239.72  -8     -11     0
2025-11-08 10:42:19      7652    -1638  877     224      124.45  -2     10      0
2025-11-08 10:42:20      7687    -1680  1106    224      260.29  -2     -4      0
2025-11-08 10:42:21      7722    -1687  1047    248      237.26  1      3       0
2025-11-08 10:42:22      7757    -1694  1036    248      251.81  -3     -8      0
2025-11-08 10:42:23      7792    -1814  614     136      276.50  -4     -16     0
2025-11-08 10:42:24      7827    -1648  440     63       39.99   10     3       0
2025-11-08 10:42:25      7862    -1348  486     24       4.57    8      0       0
2025-11-08 10:42:26      7897    -1086  479     24       48.43   12     0       0
2025-11-08 10:42:27      7932    -1072  689     24       142.29  -2     3       0
2025-11-08 10:42:28      7967    -1035  874     24       348.35  -3     -1      0
2025-11-08 10:42:29      8002    -1006  850     24       267.89  -2     0       0
2025-11-08 10:42:30      8037    -1031  521     24       304.76  5      -14     0
2025-11-08 10:42:31      8072    -753   313     24       20.96   1      0       0
2025-11-08 10:42:32      8107    -654   434     24       66.05   8      9       0
2025-11-08 10:42:33      8142    -471   642     24       6.77    11     1       0
2025-11-08 10:42:34      8177    -16    641     24       38.72   7      -2      0
2025-11-08 10:42:35      8212    63     814     24       98.04   0      2       0
2025-11-08 10:42:36      8247    65     833     24       97.65   0      -1      0
2025-11-08 10:42:44      8520    58     887     24       110.96  -2     9       0
2025-11-08 10:42:45      8555    56     902     24       267.14  6      -9      0
2025-11-08 10:42:46      8590    43     523     48       347.74  0      -5      0
2025-11-08 10:42:47      8625    0      707     24       48.60   0      8       0
2025-11-08 10:42:48      8660    126    707     24       322.87  4      -8      0
2025-11-08 10:42:49      8695    484    703     24       17.36   8      -1      0
2025-11-08 10:42:50      8730    812    687     24       10.15   -3     -1      0
2025-11-08 10:42:51      8765    946    775     40       359.43  12     3       0
2025-11-08 10:42:52      8800    1319   899     120      348.27  3      0       0
2025-11-08 10:42:53      8835    1480   684     184      264.86  -1     -10     0
2025-11-08 10:42:54      8870    1461   271     248      267.89  -1     -6      0
2025-11-08 10:42:55      8905    1506   -6      184      239.72  1      -12     0
2025-11-08 10:42:56      8940    1422   -199    136      150.47  -11    5       0
2025-11-08 10:42:57      8975    1215   -139    104      162.99  -7     1       0
2025-11-08 10:42:58      9010    899    -56     24       162.99  -13    3       0
2025-11-08 10:42:59      9045    859    -8      24       163.52  -5     2       0
2025-11-08 10:43:00      9080    528    40      24       116.28  -1     4       0
2025-11-08 10:43:01      9115    416    456     24       147.30  -9     12      0
2025-11-08 10:43:02      9150    -55    654     24       203.20  -16    -4      0
2025-11-08 10:43:03      9185    -414   521     24       248.73  -7     -11     0
2025-11-08 10:43:04      9220    -392   69      24       2.37    10     -8      0
2025-11-08 10:43:05      9255    -123   175     48       358.07  15     1       0
2025-11-08 10:43:06      9290    2      -90     24       288.98  5      -15     0
2025-11-08 10:43:07      9325    34     -304    24       204.74  -8     0       0
2025-11-08 10:43:08      9360    -17    -302    32       280.02  -1     3       0
2025-11-08 10:43:09      9395    -112   -164    24       78.49   0      7       0
2025-11-08 10:43:10      9430    4      286     48       94.48   -1     15      0
2025-11-08 10:43:11      9465    -109   634     24       187.47  -11    1       0
2025-11-08 10:43:12      9500    -556   455     24       224.65  -12    -11     0
2025-11-08 10:43:13      9535    -669   322     24       176.48  -1     -1      0
2025-11-08 10:43:14      9570    -668   316     24       150.03  3      -1      0
2025-11-08 10:43:15      9605    -763   431     24       166.38  -1     -1      0
2025-11-08 10:43:16      9640    -1111  479     24       192.04  -16    -1      0
2025-11-08 10:43:17      9675    -1677  458     72       147.66  -16    4       0
2025-11-08 10:43:18      9710    -1837  564     120      80.24   1      7       0
2025-11-08 10:43:19      9745    -1784  920     232      90.70   0      11      0
2025-11-08 10:43:20      9780    -1801  1068    248      338.69  -1     0       0
2025-11-08 10:43:21      9815    -1432  1001    248      10.59   8      -1      0
2025-11-08 10:43:22      9850    -1322  994     248      81.21   0      -1      0
2025-11-08 10:43:23      9885    -1303  1114    248      132.45  -1     1       0
2025-11-08 10:43:24      9920    -1392  1191    248      167.30  -7     3       0
2025-11-08 10:43:25      9955    -1482  1246    248      169.23  -5     1       0
2025-11-08 10:43:26      9990    -1526  1294    248      102.04  -1     8       0
2025-11-08 10:43:27      10025   -1581  1456    248      68.07   1      3       0
2025-11-08 10:43:28      10060   -1561  1581    248      0.62    -1     0       11
2025-11-08 10:43:29      10095   -1584  1584    60       54.32   -1     -1      11
2025-11-08 10:43:30      10131   -1573  1664    0        81.52   1      7       0
2025-11-08 10:43:31      10166   -1576  1781    0        111.05  -2     4       0
2025-11-08 10:43:32      10201   -1609  1856    0        126.87  -2     -2      0
2025-11-08 10:43:33      10236   -1448  2087    0        331.52  0      -1      0
2025-11-08 10:43:34      10271   -1469  2025    0        182.86  -1     -1      0
2025-11-08 10:43:35      10306   -1624  2071    0        196.04  -11    2       0
2025-11-08 10:43:36      10341   -1648  1994    0        346.25  0      -1      0
2025-11-08 10:43:37      10376   -1622  2087    0        24.43   2      1       0
2025-11-08 10:43:38      10411   -1481  1985    0        206.98  1      -1      0
2025-11-08 10:43:39      10446   -1497  1969    0        188.00  -7     -2      0
2025-11-08 10:43:40      10481   -1674  1781    0        333.94  7      -5      0
2025-11-08 10:43:41      10516   -1662  1890    0        161.19  -13    4       0
2025-11-08 10:43:42      10551   -1598  2051    0        7.38    12     1       0
2025-11-08 10:43:43      10586   -1366  1887    0        238.14  0      -7      0
2025-11-08 10:43:44      10621   -1515  1877    0        175.25  -14    0       0
2025-11-08 10:43:45      10656   -1711  1978    0        212.83  2      5       0
2025-11-08 10:43:46      10691   -1712  1818    0        292.98  0      -12     0
2025-11-08 10:43:47      10726   -1489  1683    0        60.03   0      0       0
2025-11-08 10:43:48      10761   -1507  1974    0        104.37  -2     7       0
2025-11-08 10:43:49      10796   -1556  2095    0        129.20  -3     1       0
2025-11-08 10:43:50      10831   -1604  2089    0        160.97  -11    2       0
2025-11-08 10:43:51      10866   -1721  2249    0        31.95   5      7       0
2025-11-08 10:43:52      10901   -1543  2256    0        46.32   -3     -1      0
